OVR;Pos;Rank;Tier;Name;Team;Bye
1;WR;WR1;1;Ja'Marr Chase;CIN;wk10
2;RB;RB1;1;Bijan Robinson;ATL;wk5
3;RB;RB2;1;Jahmyr Gibbs;DET;wk8
4;WR;WR2;1;CeeDee Lamb;DAL;wk10
5;WR;WR3;1;Justin Jefferson;MIN;wk6
6;RB;RB3;2;Saquon Barkley;PHI;wk9
7;WR;WR4;2;Malik Nabers;NYG;wk14
8;WR;WR5;2;Puka Nacua;LAR;wk8
9;WR;WR6;2;Amon-Ra St. Brown;DET;wk8
10;RB;RB4;3;Devon Achane;MIA;wk12
11;RB;RB5;3;Christian McCaffrey;SF;wk14
12;WR;WR7;3;Nico Collins;HOU;wk6
13;WR;WR8;3;Brian Thomas;JAX;wk8
14;RB;RB6;3;Derrick Henry;BAL;wk7
15;RB;RB7;3;Ashton Jeanty;LV;wk8
16;WR;WR9;3;Drake London;ATL;wk5
17;WR;WR10;3;A.J. Brown;PHI;wk9
18;RB;RB8;4;Bucky Irving;TB;wk9
19;RB;RB9;4;Chase Brown;CIN;wk10
20;RB;RB10;4;Josh Jacobs;GB;wk5
21;TE;TE1;1;Brock Bowers;LV;wk8
22;WR;WR11;4;Ladd McConkey;LAC;wk12
23;RB;RB11;4;Jonathan Taylor;IND;wk11
24;WR;WR12;4;Jaxon Smith-Njigba;SEA;wk8
25;WR;WR13;4;Tee Higgins;CIN;wk10
26;WR;WR14;4;Marvin Harrison;ARI;wk8
27;RB;RB12;4;Kyren Williams;LAR;wk8
28;RB;RB13;5;Omarion Hampton;LAC;wk12
29;WR;WR15;5;Garrett Wilson;NYJ;wk9
30;WR;WR16;5;Davante Adams;LAR;wk8
31;TE;TE2;1;Trey McBride;ARI;wk8
32;RB;RB14;5;Alvin Kamara;NO;wk11
33;WR;WR17;5;Tyreek Hill;MIA;wk12
34;RB;RB15;5;Breece Hall;NYJ;wk9
35;TE;TE3;1;George Kittle;SF;wk14
36;QB;QB1;1;Lamar Jackson;BAL;wk7
37;QB;QB2;1;Josh Allen;BUF;wk7
38;WR;WR18;6;Rashee Rice;KC;wk10
39;RB;RB16;5;TreVeyon Henderson;NE;wk14
40;WR;WR19;6;Courtland Sutton;DEN;wk12
41;WR;WR20;6;Mike Evans;TB;wk9
42;WR;WR21;6;Terry McLaurin;WAS;wk12
43;RB;RB17;6;Chuba Hubbard;CAR;wk14
44;WR;WR22;6;Tetairoa McMillan;CAR;wk14
45;RB;RB18;6;James Conner;ARI;wk8
46;QB;QB3;2;Jayden Daniels;WAS;wk12
47;WR;WR23;7;DK Metcalf;PIT;wk5
48;WR;WR24;7;Jameson Williams;DET;wk8
49;RB;RB19;6;Kenneth Walker;SEA;wk8
50;WR;WR25;7;DeVonta Smith;PHI;wk9
51;WR;WR26;7;Xavier Worthy;KC;wk10
52;QB;QB4;2;Jalen Hurts;PHI;wk9
53;RB;RB20;7;RJ Harvey;DEN;wk12
54;WR;WR27;7;George Pickens;DAL;wk10
55;WR;WR28;7;Travis Hunter;JAX;wk8
56;WR;WR29;7;DJ Moore;CHI;wk5
57;WR;WR30;7;Zay Flowers;BAL;wk7
58;RB;RB21;7;Kaleb Johnson;PIT;wk5
59;WR;WR31;7;Jaylen Waddle;MIA;wk12
60;RB;RB22;7;James Cook;BUF;wk7
61;WR;WR32;7;Rome Odunze;CHI;wk5
62;WR;WR33;7;Chris Olave;NO;wk11
63;QB;QB5;3;Joe Burrow;CIN;wk10
64;RB;RB23;7;Aaron Jones;MIN;wk6
65;WR;WR34;7;Calvin Ridley;TEN;wk10
66;RB;RB24;7;David Montgomery;DET;wk8
67;WR;WR35;7;Emeka Egbuka;TB;wk9
68;RB;RB25;7;Tony Pollard;TEN;wk10
69;TE;TE4;2;Sam LaPorta;DET;wk8
70;RB;RB26;8;D'Andre Swift;CHI;wk5
71;RB;RB27;8;Isiah Pacheco;KC;wk10
72;WR;WR36;7;Chris Godwin;TB;wk9
73;WR;WR37;8;Stefon Diggs;NE;wk14
74;WR;WR38;8;Jordan Addison;MIN;wk6
75;RB;RB28;8;Joe Mixon;HOU;wk6
76;WR;WR39;8;Jerry Jeudy;CLE;wk9
77;TE;TE5;2;T.J. Hockenson;MIN;wk6
78;QB;QB6;4;Patrick Mahomes;KC;wk10
79;RB;RB29;8;Brian Robinson;WAS;wk12
80;WR;WR40;8;Josh Downs;IND;wk11
81;QB;QB7;4;Bo Nix;DEN;wk12
82;WR;WR41;8;Jauan Jennings;SF;wk14
83;WR;WR42;8;Jakobi Meyers;LV;wk8
84;QB;QB8;4;Baker Mayfield;TB;wk9
85;WR;WR43;8;Ricky Pearsall;SF;wk14
86;QB;QB9;4;Kyler Murray;ARI;wk8
87;WR;WR44;8;Khalil Shakir;BUF;wk7
88;TE;TE6;3;Travis Kelce;KC;wk10
89;WR;WR45;8;Jayden Reed;GB;wk5
90;RB;RB30;9;Travis Etienne;JAX;wk8
91;WR;WR46;8;Matthew Golden;GB;wk5
92;WR;WR47;8;Deebo Samuel;WAS;wk12
93;TE;TE7;3;Evan Engram;DEN;wk12
94;QB;QB10;5;Brock Purdy;SF;wk14
95;WR;WR48;8;Cooper Kupp;SEA;wk8
96;TE;TE8;3;David Njoku;CLE;wk9
97;RB;RB31;9;Tyrone Tracy;NYG;wk14
98;RB;RB32;9;Quinshon Judkins;CLE;wk9
99;WR;WR49;8;Michael Pittman;IND;wk11
100;QB;QB11;5;Dak Prescott;DAL;wk10
101;QB;QB12;5;Justin Fields;NYJ;wk9
102;RB;RB33;9;J.K. Dobbins;DEN;wk12
103;TE;TE9;3;Tucker Kraft;GB;wk5
104;RB;RB34;9;Cam Skattebo;NYG;wk14
105;RB;RB35;9;Zach Charbonnet;SEA;wk8
106;RB;RB36;9;Jaylen Warren;PIT;wk5
107;RB;RB37;9;Javonte Williams;DAL;wk10
108;WR;WR50;9;Darnell Mooney;ATL;wk5
109;QB;QB13;5;Drake Maye;NE;wk14
110;QB;QB14;5;Caleb Williams;CHI;wk5
111;RB;RB38;9;Jordan Mason;MIN;wk6
112;WR;WR51;9;Jayden Higgins;HOU;wk6
113;TE;TE10;4;Mark Andrews;BAL;wk7
114;TE;TE11;4;Tyler Warren;IND;wk11
115;QB;QB15;6;Justin Herbert;LAC;wk12
116;RB;RB39;9;Tank Bigsby;JAX;wk8
117;RB;RB40;9;Trey Benson;ARI;wk8
118;WR;WR52;9;Keon Coleman;BUF;wk7
119;QB;QB16;6;Jared Goff;DET;wk8
120;QB;QB17;6;Jordan Love;GB;wk5
121;TE;TE12;4;Colston Loveland;CHI;wk5
122;WR;WR53;9;Brandon Aiyuk;SF;wk14
123;TE;TE13;4;Dalton Kincaid;BUF;wk7
124;WR;WR54;9;Kyle Williams;NE;wk14
125;RB;RB41;10;Tyjae Spears;TEN;wk10
126;WR;WR55;9;Tre Harris;LAC;wk12
127;WR;WR56;9;Rashid Shaheed;NO;wk11
128;RB;RB42;10;Rhamondre Stevenson;NE;wk14
129;WR;WR57;9;Cedric Tillman;CLE;wk9
130;WR;WR58;9;Luther Burden;CHI;wk5
131;WR;WR59;9;Rashod Bateman;BAL;wk7
132;RB;RB43;10;Dylan Sampson;CLE;wk9
133;RB;RB44;10;Rachaad White;TB;wk9
134;RB;RB45;10;Jaydon Blue;DAL;wk10
135;QB;QB18;7;Trevor Lawrence;JAX;wk8
136;RB;RB46;10;Austin Ekeler;WAS;wk12
137;TE;TE14;4;Jake Ferguson;DAL;wk10
138;QB;QB19;7;J.J. McCarthy;MIN;wk6
139;RB;RB47;10;Najee Harris;LAC;wk12
140;RB;RB48;11;Ray Davis;BUF;wk7
141;QB;QB20;7;C.J. Stroud;HOU;wk6
142;RB;RB49;11;Tyler Allgeier;ATL;wk5
143;WR;WR60;10;Keenan Allen;LAC;wk12
144;RB;RB50;11;Jerome Ford;CLE;wk9
145;RB;RB51;11;Jaylen Wright;MIA;wk12
146;TE;TE15;5;Dallas Goedert;PHI;wk9
147;TE;TE16;5;Kyle Pitts;ATL;wk5
148;RB;RB52;11;Bhayshul Tuten;JAX;wk8
149;WR;WR61;10;Jack Bech;LV;wk8
150;WR;WR62;10;Christian Kirk;HOU;wk6
151;QB;QB21;7;Tua Tagovailoa;MIA;wk12
152;TE;TE17;5;Hunter Henry;NE;wk14
153;WR;WR63;10;Quentin Johnston;LAC;wk12
154;WR;WR64;10;Marquise Brown;KC;wk10
155;RB;RB53;11;Isaac Guerendo;SF;wk14
156;TE;TE18;5;Jonnu Smith;PIT;wk5
157;QB;QB22;7;Michael Penix;ATL;wk5
158;RB;RB54;12;Rico Dowdle;CAR;wk14
159;RB;RB55;12;Nick Chubb;HOU;wk6
160;TE;TE19;5;Brenton Strange;JAX;wk8
161;QB;QB23;7;Bryce Young;CAR;wk14
162;WR;WR65;10;Xavier Legette;CAR;wk14
163;QB;QB24;7;Matthew Stafford;LAR;wk8
164;QB;QB25;7;Geno Smith;LV;wk8
165;WR;WR66;10;Adam Thielen;CAR;wk14
166;WR;WR67;10;Wan'Dale Robinson;NYG;wk14
167;RB;RB56;12;Roschon Johnson;CHI;wk5
168;WR;WR68;10;Jalen McMillan;TB;wk9
169;RB;RB57;12;Braelon Allen;NYJ;wk9
170;TE;TE20;5;Zach Ertz;WAS;wk12
171;WR;WR69;10;Romeo Doubs;GB;wk5
172;WR;WR70;10;Marvin Mims;DEN;wk12
173;TE;TE21;5;Isaiah Likely;BAL;wk7
174;WR;WR71;10;DeMario Douglas;NE;wk14
175;QB;QB26;7;Sam Darnold;SEA;wk8
176;WR;WR72;10;Pat Bryant;DEN;wk12
177;QB;QB27;7;Anthony Richardson;IND;wk11
178;WR;WR73;10;Jalen Coker;CAR;wk14
179;TE;TE22;5;Mason Taylor;NYJ;wk9
180;RB;RB58;12;Brashard Smith;KC;wk10
181;WR;WR74;10;Joshua Palmer;BUF;wk7
182;RB;RB59;12;Miles Sanders;DAL;wk10
183;WR;WR75;10;Dont'e Thornton Jr.;LV;wk8
184;RB;RB60;12;Jarquez Hunter;LAR;wk8
185;QB;QB28;7;Aaron Rodgers;PIT;wk5
186;WR;WR76;10;Jaylin Noel;HOU;wk6
187;QB;QB29;7;Cameron Ward;TEN;wk10
188;RB;RB61;12;Kareem Hunt;KC;wk10
189;WR;WR77;10;DeAndre Hopkins;BAL;wk7
190;TE;TE23;6;Mike Gesicki;CIN;wk10
191;RB;RB62;12;DJ Giddens;IND;wk11
192;TE;TE24;6;Elijah Arroyo;SEA;wk8
193;WR;WR78;10;Alec Pierce;IND;wk11
194;WR;WR79;10;Michael Wilson;ARI;wk8
195;WR;WR80;10;Andrei Iosivas;CIN;wk10
196;TE;TE25;6;Pat Freiermuth;PIT;wk5
197;TE;TE26;6;Cade Otton;TB;wk9
198;RB;RB63;12;Kyle Monangai;CHI;wk5
199;QB;QB30;8;Daniel Jones;IND;wk11
200;TE;TE27;6;Terrance Ferguson;LAR;wk8
201;WR;WR81;10;Dontayvion Wicks;GB;wk5
202;RB;RB64;12;Woody Marks;HOU;wk6
203;RB;RB65;12;Justice Hill;BAL;wk7
204;TE;TE28;6;Dalton Schultz;HOU;wk6
205;RB;RB66;12;Devin Neal;NO;wk11
206;WR;WR82;10;Amari Cooper;;
207;WR;WR83;10;Darius Slayton;NYG;wk14
208;RB;RB67;12;Blake Corum;LAR;wk8
209;WR;WR84;10;Savion Williams;GB;wk5
210;TE;TE29;6;Juwan Johnson;NO;wk11
211;TE;TE30;6;Darren Waller;MIA;wk12
212;RB;RB68;12;Kendre Miller;NO;wk11
