OVR;Pos;Rank;Tier;Name;Team;Bye
1;WR;WR1;1;Ja'Marr Chase;CIN;wk10
2;RB;RB1;1;Bijan Robinson;ATL;wk5
3;WR;WR2;1;CeeDee Lamb;DAL;wk10
4;RB;RB2;1;Jahmyr Gibbs;DET;wk8
5;RB;RB3;1;Saquon Barkley;PHI;wk9
6;WR;WR3;1;Justin Jefferson;MIN;wk6
7;WR;WR4;1;Puka Nacua;LAR;wk8
8;WR;WR5;1;Amon-Ra St. Brown;DET;wk8
9;WR;WR6;1;Malik Nabers;NYG;wk14
10;WR;WR7;1;Brian Thomas;JAX;wk8
11;WR;WR8;1;Nico Collins;HOU;wk6
12;RB;RB4;1;Ashton Jeanty;LV;wk8
13;RB;RB5;1;Christian McCaffrey;SF;wk14
14;RB;RB6;1;Derrick Henry;BAL;wk7
15;RB;RB7;1;Devon Achane;MIA;wk12
16;WR;WR9;1;Drake London;ATL;wk5
17;WR;WR10;1;A.J. Brown;PHI;wk9
18;RB;RB8;1;Bucky Irving;TB;wk9
19;RB;RB9;1;Josh Jacobs;GB;wk5
20;RB;RB10;1;Chase Brown;CIN;wk10
21;RB;RB11;1;Kyren Williams;LAR;wk8
22;RB;RB12;1;Jonathan Taylor;IND;wk11
23;WR;WR11;1;Ladd McConkey;LAC;wk12
24;WR;WR12;1;Jaxon Smith-Njigba;SEA;wk8
25;WR;WR13;1;Tee Higgins;CIN;wk10
26;TE;TE2;1;Trey McBride;ARI;wk8
27;RB;RB13;1;Omarion Hampton;LAC;wk12
28;TE;TE1;1;Brock Bowers;LV;wk8
29;WR;WR14;1;Davante Adams;LAR;wk8
30;RB;RB14;1;Alvin Kamara;NO;wk11
31;QB;QB5;1;Joe Burrow;CIN;wk10
33;WR;WR15;1;Tyreek Hill;MIA;wk12
34;WR;WR16;1;Marvin Harrison;ARI;wk8
35;RB;RB17;1;TreVeyon Henderson;NE;wk14
36;WR;WR17;1;Garrett Wilson;NYJ;wk9
37;WR;WR18;1;Mike Evans;TB;wk9
38;TE;TE3;1;George Kittle;SF;wk14
40;RB;RB15;1;James Cook;BUF;wk7
42;RB;RB16;1;Breece Hall;NYJ;wk9
44;RB;RB18;1;Chuba Hubbard;CAR;wk14
49;RB;RB20;1;James Conner;ARI;wk8
50;RB;RB19;1;Kenneth Walker;SEA;wk8
55;RB;RB21;1;RJ Harvey;DEN;wk12
62;RB;RB22;1;Kaleb Johnson;PIT;wk5
63;WR;WR33;1;Jameson Williams;DET;wk8
64;WR;WR34;1;Jaylen Waddle;MIA;wk12
65;RB;RB23;1;Tony Pollard;TEN;wk10
66;RB;RB25;1;Aaron Jones;MIN;wk6
67;RB;RB24;1;David Montgomery;DET;wk8
68;RB;RB26;1;D'Andre Swift;CHI;wk5
69;TE;TE4;1;Sam LaPorta;DET;wk8
70;WR;WR35;1;Stefon Diggs;NE;wk14
71;WR;WR36;1;Matthew Golden;GB;wk5
74;RB;RB27;1;Isiah Pacheco;KC;wk10
75;RB;RB28;1;Quinshon Judkins;CLE;wk9
81;WR;WR42;1;Chris Godwin;TB;wk9
82;RB;RB29;1;Tyrone Tracy;NYG;wk14
83;RB;RB30;1;Joe Mixon;HOU;wk6
86;TE;TE6;1;Travis Kelce;KC;wk10
88;TE;TE5;1;T.J. Hockenson;MIN;wk6
89;TE;TE7;1;Tyler Warren;IND;wk11
95;TE;TE8;1;David Njoku;CLE;wk9
96;WR;WR47;1;Cooper Kupp;SEA;wk8
97;RB;RB31;1;Javonte Williams;DAL;wk10
99;WR;WR48;1;Khalil Shakir;BUF;wk7
100;RB;RB32;1;Zach Charbonnet;SEA;wk8
101;WR;WR49;1;Michael Pittman;IND;wk11
102;TE;TE9;1;Evan Engram;DEN;wk12
103;WR;WR50;1;Deebo Samuel;WAS;wk12
105;RB;RB33;1;Travis Etienne;JAX;wk8
107;WR;WR51;1;Luther Burden;CHI;wk5
108;TE;TE10;1;Tucker Kraft;GB;wk5
109;RB;RB34;1;Tank Bigsby;JAX;wk8
110;WR;WR52;1;Keon Coleman;BUF;wk7
111;RB;RB35;1;J.K. Dobbins;DEN;wk12
112;RB;RB36;1;Jordan Mason;MIN;wk6
114;RB;RB37;1;Cam Skattebo;NYG;wk14
115;RB;RB38;1;Trey Benson;ARI;wk8
116;TE;TE11;1;Mark Andrews;BAL;wk7
118;WR;WR53;1;Brandon Aiyuk;SF;wk14
119;RB;RB39;1;Austin Ekeler;WAS;wk12
120;RB;RB40;1;Rhamondre Stevenson;NE;wk14
121;RB;RB41;1;Najee Harris;LAC;wk12
122;RB;RB42;1;Tyjae Spears;TEN;wk10
123;RB;RB43;1;Jacory Croskey-Merritt;WAS;wk12
125;WR;WR54;1;Rashod Bateman;BAL;wk7
126;RB;RB44;1;Rachaad White;TB;wk9
127;RB;RB45;1;Bhayshul Tuten;JAX;wk8
128;RB;RB46;1;Jaydon Blue;DAL;wk10
129;WR;WR55;1;Rashid Shaheed;NO;wk11
130;WR;WR56;1;Dont'e Thornton Jr.;LV;wk8
131;TE;TE12;1;Jonnu Smith;PIT;wk5
132;WR;WR57;1;Cedric Tillman;CLE;wk9
133;RB;RB47;1;Brian Robinson;SF;wk14
134;WR;WR58;1;Christian Kirk;HOU;wk6
135;RB;RB48;1;Braelon Allen;NYJ;wk9
138;RB;RB49;1;Jaylen Wright;MIA;wk12
139;TE;TE13;1;Colston Loveland;CHI;wk5
140;WR;WR59;1;Adam Thielen;CAR;wk14
141;WR;WR60;1;Marquise Brown;KC;wk10
142;TE;TE14;1;Dalton Kincaid;BUF;wk7
143;WR;WR61;1;Jayden Higgins;HOU;wk6
144;WR;WR62;1;Keenan Allen;LAC;wk12
145;RB;RB50;1;Rico Dowdle;CAR;wk14
146;RB;RB51;1;Ray Davis;BUF;wk7
147;RB;RB52;1;Tyler Allgeier;ATL;wk5
148;TE;TE15;1;Zach Ertz;WAS;wk12
149;TE;TE16;1;Jake Ferguson;DAL;wk10
152;TE;TE19;1;Hunter Henry;NE;wk14
153;RB;RB53;1;Jerome Ford;CLE;wk9
154;WR;WR63;1;Jaylin Noel;HOU;wk6
155;WR;WR64;1;Jack Bech;LV;wk8
156;RB;RB54;1;Nick Chubb;HOU;wk6
157;WR;WR65;1;Romeo Doubs;GB;wk5
158;RB;RB55;1;Isaac Guerendo;SF;wk14
160;WR;WR66;1;Kyle Williams;NE;wk14
162;WR;WR67;1;Jalen Coker;CAR;wk14
164;WR;WR68;1;Jalen McMillan;TB;wk9
165;TE;TE17;1;Dallas Goedert;PHI;wk9
166;TE;TE18;1;Kyle Pitts;ATL;wk5
167;WR;WR69;1;DeAndre Hopkins;BAL;wk7
168;WR;WR70;1;Tre Harris;LAC;wk12
169;RB;RB56;1;Dylan Sampson;CLE;wk9
170;RB;RB57;1;Kareem Hunt;KC;wk10
173;WR;WR71;1;Wan'Dale Robinson;NYG;wk14
176;TE;TE20;1;Brenton Strange;JAX;wk8
177;TE;TE21;1;Isaiah Likely;BAL;wk7
178;WR;WR72;1;Marvin Mims;DEN;wk12
179;TE;TE22;1;Terrance Ferguson;LAR;wk8
180;WR;WR73;1;Xavier Legette;CAR;wk14
181;RB;RB58;1;Roschon Johnson;CHI;wk5
182;WR;WR74;1;Quentin Johnston;LAC;wk12
183;WR;WR75;1;Joshua Palmer;BUF;wk7
184;TE;TE23;1;Mason Taylor;NYJ;wk9
185;TE;TE24;1;Cade Otton;TB;wk9
186;RB;RB59;1;Miles Sanders;DAL;wk10
187;RB;RB60;1;DJ Giddens;IND;wk11
188;WR;WR76;1;DeMario Douglas;NE;wk14
189;WR;WR77;1;Pat Bryant;DEN;wk12
190;RB;RB61;1;Jaylen Warren;PIT;wk5
193;WR;WR78;1;Elic Ayomanor;TEN;wk10
194;TE;TE25;1;Darren Waller;MIA;wk12
195;WR;WR79;1;Savion Williams;GB;wk5
197;TE;TE26;1;Mike Gesicki;CIN;wk10
198;RB;RB62;1;Jarquez Hunter;LAR;wk8
199;WR;WR80;1;Amari Cooper;;
200;TE;TE27;1;Elijah Arroyo;SEA;wk8
201;RB;RB63;1;Will Shipley;PHI;wk9
203;RB;RB64;1;Blake Corum;LAR;wk8
204;WR;WR81;1;Alec Pierce;IND;wk11
205;RB;RB65;1;Woody Marks;HOU;wk6
207;RB;RB66;1;Tahj Brooks;CIN;wk10
208;RB;RB67;1;Ollie Gordon II;MIA;wk12
209;WR;WR82;1;Andrei Iosivas;CIN;wk10
210;TE;TE28;1;Juwan Johnson;NO;wk11
211;TE;TE29;1;Pat Freiermuth;PIT;wk5
212;RB;RB68;1;Keaton Mitchell;BAL;wk7
213;WR;WR83;1;Darius Slayton;NYG;wk14
215;RB;RB69;1;Devin Neal;NO;wk11
216;TE;TE30;1;Dalton Schultz;HOU;wk6
217;TE;TE31;1;Chigoziem Okonkwo;TEN;wk10
218;RB;RB70;1;Kyle Monangai;CHI;wk5
219;WR;WR84;1;Tory Horton;SEA;wk8
220;QB;QB33;1;Russell Wilson;NYG;wk14
221;WR;WR85;1;Troy Franklin;DEN;wk12
222;WR;WR86;1;Michael Wilson;ARI;wk8
223;WR;WR87;1;Dontayvion Wicks;GB;wk5
224;RB;RB71;1;Justice Hill;BAL;wk7
225;QB;QB34;1;Tyler Shough;NO;wk11
226;WR;WR88;1;Adonai Mitchell;IND;wk11
227;RB;RB72;1;MarShawn Lloyd;GB;wk5
228;WR;WR89;1;Dyami Brown;JAX;wk8
229;QB;QB35;1;Jaxson Dart;NYG;wk14
230;TE;TE32;1;Luke Musgrave;GB;wk5
231;RB;RB73;1;Emanuel Wilson;GB;wk5
232;TE;TE33;1;Theo Johnson;NYG;wk14
233;TE;TE34;1;Oronde Gadsden;LAC;wk12
234;RB;RB74;1;Brashard Smith;KC;wk10
235;TE;TE35;1;Ja'Tavion Sanders;CAR;wk14
236;WR;WR90;1;Roman Wilson;PIT;wk5
237;WR;WR91;1;Diontae Johnson;CLE;wk9
238;WR;WR92;1;Tyler Lockett;TEN;wk10
239;TE;TE36;1;Cole Kmet;CHI;wk5
240;WR;WR93;1;Jalen Royals;KC;wk10
241;WR;WR94;1;Jalen Tolbert;DAL;wk10
242;RB;RB75;1;Jordan James;SF;wk14
243;TE;TE37;1;Ben Sinnott;WAS;wk12
244;RB;RB76;1;Kendre Miller;NO;wk11
245;RB;RB77;1;Raheem Mostert;LV;wk8
246;RB;RB78;1;Sean Tucker;TB;wk9
247;QB;QB36;1;Kirk Cousins;ATL;wk5
248;WR;WR95;1;Ray-Ray McCloud;ATL;wk5
249;QB;QB37;1;Shedeur Sanders;CLE;wk9
250;WR;WR96;1;Xavier Restrepo;TEN;wk10
252;QB;QB38;1;Jalen Milroe;SEA;wk8
253;WR;WR97;1;Devaughn Vele;NO;wk11
254;WR;WR98;1;Elijah Moore;BUF;wk7
255;RB;RB79;1;Ty Johnson;BUF;wk7
256;RB;RB80;1;Isaiah Davis;NYJ;wk9
257;WR;WR99;1;Tutu Atwell;LAR;wk8
258;RB;RB81;1;Trevor Etienne;CAR;wk14
259;WR;WR100;1;Isaac TeSlaa;DET;wk8
260;TE;TE38;1;Harold Fannin;CLE;wk9
261;RB;RB82;1;Audric Estime;DEN;wk12
262;TE;TE39;1;AJ Barner;SEA;wk8
263;TE;TE40;1;Noah Gray;KC;wk10
264;WR;WR101;1;Jordan Whittington;LAR;wk8
265;TE;TE41;1;Michael Mayer;LV;wk8
266;TE;TE42;1;Tyler Conklin;LAC;wk12
267;WR;WR102;1;Ja'Lynn Polk;NE;wk14
268;RB;RB83;1;Elijah Mitchell;KC;wk10
