OVR;Pos;Rank;Tier;Name;Team;Bye
1;RB;RB1;1;Jonathan Taylor;IND;wk11
2;RB;RB2;1;Christian McCaffrey;SF;wk14
3;WR;WR1;1;Jaxon Smith-Njigba;SEA;wk8
4;WR;WR2;1;Puka Nacua;LAR;wk8
5;RB;RB3;2;Bijan Robinson;ATL;wk5
6;RB;RB4;2;Jahmyr Gibbs;DET;wk8
7;WR;WR3;2;Amon-Ra St. Brown;DET;wk8
8;WR;WR4;2;Ja'Marr Chase;CIN;wk10
9;WR;WR5;2;CeeDee Lamb;DAL;wk10
10;WR;WR6;2;Rashee Rice;KC;wk10
11;RB;RB5;3;De'Von Achane;MIA;wk12
12;RB;RB6;3;Kyren Williams;LAR;wk8
13;RB;RB7;3;Bucky Irving;TB;wk9
14;RB;RB8;3;James Cook;BUF;wk7
15;TE;TE1;1;Trey McBride;ARI;wk8
16;WR;WR7;3;George Pickens;DAL;wk10
17;QB;QB1;1;Josh Allen;BUF;wk7
18;WR;WR8;3;Emeka Egbuka;TB;wk9
19;WR;WR9;3;Nico Collins;HOU;wk6
20;RB;RB9;4;Saquon Barkley;PHI;wk9
21;RB;RB10;4;Javonte Williams;DAL;wk10
22;RB;RB11;4;Derrick Henry;BAL;wk7
23;RB;RB12;4;Rico Dowdle;CAR;wk14
24;TE;TE2;2;Brock Bowers;LV;wk8
25;WR;WR10;3;Davante Adams;LAR;wk8
26;WR;WR11;3;Justin Jefferson;MIN;wk6
27;WR;WR12;3;Rome Odunze;CHI;wk5
28;TE;TE3;2;Tyler Warren;IND;wk11
29;TE;TE4;2;George Kittle;SF;wk14
30;QB;QB2;1;Lamar Jackson;BAL;wk7
31;RB;RB13;4;Quinshon Judkins;CLE;wk9
32;RB;RB14;4;Josh Jacobs;GB;wk5
33;RB;RB15;4;Ashton Jeanty;LV;wk8
34;RB;RB16;4;Breece Hall;NYJ;wk9
35;RB;RB17;4;TreVeyon Henderson;NE;wk14
36;RB;RB18;4;Travis Etienne Jr.;JAX;wk8
37;RB;RB19;4;D'Andre Swift;CHI;wk5
38;TE;TE5;2;Travis Kelce;KC;wk10
39;WR;WR13;4;Chris Olave;NO;wk11
40;WR;WR14;4;DeVonta Smith;PHI;wk9
41;WR;WR15;4;Jaylen Waddle;MIA;wk12
42;WR;WR16;4;Michael Pittman Jr.;IND;wk11
43;WR;WR17;4;Jameson Williams;DET;wk8
44;WR;WR18;4;Tee Higgins;CIN;wk10
45;WR;WR19;4;Tetairoa McMillan;CAR;wk14
46;WR;WR20;4;Marvin Harrison Jr.;ARI;wk8
47;WR;WR21;4;Zay Flowers;BAL;wk7
48;WR;WR22;4;Drake London;ATL;wk5
49;TE;TE6;3;Jake Ferguson;DAL;wk10
50;TE;TE7;3;Dallas Goedert;PHI;wk9
51;RB;RB20;5;Chase Brown;CIN;wk10
52;RB;RB21;5;Jaylen Warren;PIT;wk5
53;RB;RB22;5;Omarion Hampton;LAC;wk12
54;RB;RB23;5;Aaron Jones Sr.;MIN;wk6
55;WR;WR23;5;A.J. Brown;PHI;wk9
56;WR;WR24;5;Stefon Diggs;NE;wk14
57;WR;WR25;5;Jordan Addison;MIN;wk6
58;WR;WR26;5;Ladd McConkey;LAC;wk12
59;QB;QB3;2;Patrick Mahomes II;KC;wk10
60;QB;QB4;2;Drake Maye;NE;wk14
61;WR;WR27;5;Wan'Dale Robinson;NYG;wk14
62;WR;WR28;5;Alec Pierce;IND;wk11
63;RB;RB24;5;Alvin Kamara;NO;wk11
64;RB;RB25;5;David Montgomery;DET;wk8
65;QB;QB5;2;Jalen Hurts;PHI;wk9
66;TE;TE8;3;Oronde Gadsden II;LAC;wk12
67;TE;TE9;3;Dalton Kincaid;BUF;wk7
68;RB;RB26;5;RJ Harvey;DEN;wk12
69;RB;RB27;5;Kenneth Walker III;SEA;wk8
70;WR;WR29;5;Courtland Sutton;DEN;wk12
71;WR;WR30;5;DK Metcalf;PIT;wk5
72;WR;WR31;5;Ricky Pearsall;SF;wk14
73;WR;WR32;5;Christian Watson;GB;wk5
74;WR;WR33;5;Brian Thomas Jr.;JAX;wk8
75;QB;QB6;2;Jared Goff;DET;wk8
76;QB;QB7;2;Daniel Jones;IND;wk11
