OVR;Pos;Rank;Tier;Name;Team;Bye
1;WR;WR1;1;Ja'Marr Chase;CIN;wk10
2;RB;RB1;1;Bijan Robinson;ATL;wk5
3;RB;RB2;1;Jahmyr Gibbs;DET;wk8
4;WR;WR2;1;CeeDee Lamb;DAL;wk10
5;WR;WR3;1;Justin Jefferson;MIN;wk6
6;RB;RB3;1;Saquon Barkley;PHI;wk9
7;WR;WR4;2;Malik Nabers;NYG;wk14
8;RB;RB4;2;Christian McCaffrey;SF;wk14
9;RB;RB5;2;Devon Achane;MIA;wk12
10;WR;WR5;2;Puka Nacua;LAR;wk8
11;WR;WR6;2;Nico Collins;HOU;wk6
12;WR;WR7;2;Brian Thomas;JAX;wk8
13;WR;WR8;2;Amon-Ra St. Brown;DET;wk8
14;WR;WR9;2;Drake London;ATL;wk5
15;RB;RB6;3;Derrick Henry;BAL;wk7
16;RB;RB7;3;Ashton Jeanty;LV;wk8
17;WR;WR10;3;A.J. Brown;PHI;wk9
18;RB;RB8;4;Bucky Irving;TB;wk9
19;RB;RB9;4;Chase Brown;CIN;wk10
20;RB;RB10;4;Josh Jacobs;GB;wk5
21;TE;TE1;1;Brock Bowers;LV;wk8
22;WR;WR11;3;Ladd McConkey;LAC;wk12
23;WR;WR12;3;Tee Higgins;CIN;wk10
24;RB;RB11;4;Jonathan Taylor;IND;wk11
25;RB;RB12;4;Kyren Williams;LAR;wk8
26;RB;RB13;4;Omarion Hampton;LAC;wk12
27;TE;TE2;1;Trey McBride;ARI;wk8
28;WR;WR13;4;Tyreek Hill;MIA;wk12
29;WR;WR14;4;Garrett Wilson;NYJ;wk9
30;WR;WR15;4;Davante Adams;LAR;wk8
31;WR;WR16;4;Mike Evans;TB;wk9
32;WR;WR17;4;Marvin Harrison;ARI;wk8
33;WR;WR18;4;Tetairoa McMillan;CAR;wk14
34;WR;WR19;4;Rashee Rice;KC;wk10
35;RB;RB14;5;Alvin Kamara;NO;wk11
36;RB;RB15;5;Breece Hall;NYJ;wk9
37;WR;WR20;5;Jaxon Smith-Njigba;SEA;wk8
38;WR;WR21;5;Courtland Sutton;DEN;wk12
39;RB;RB16;5;TreVeyon Henderson;NE;wk14
40;RB;RB17;5;James Conner;ARI;wk8
41;QB;QB1;1;Joe Burrow;CIN;wk10
42;QB;QB2;1;Lamar Jackson;BAL;wk7
43;WR;WR22;5;Terry McLaurin;WAS;wk12
44;RB;RB18;5;Chuba Hubbard;CAR;wk14
45;TE;TE3;2;George Kittle;SF;wk14
46;WR;WR23;5;George Pickens;DAL;wk10
47;WR;WR24;5;DeVonta Smith;PHI;wk9
48;WR;WR25;5;Jameson Williams;DET;wk8
49;WR;WR26;5;Travis Hunter;JAX;wk8
50;WR;WR27;5;DK Metcalf;PIT;wk5
51;WR;WR28;5;Xavier Worthy;KC;wk10
52;RB;RB19;6;Kenneth Walker;SEA;wk8
53;QB;QB3;2;Baker Mayfield;TB;wk9
54;QB;QB4;2;Jared Goff;DET;wk8
55;RB;RB20;6;Tony Pollard;TEN;wk10
56;RB;RB21;6;RJ Harvey;DEN;wk12
57;RB;RB22;6;Kaleb Johnson;PIT;wk5
58;WR;WR29;6;Calvin Ridley;TEN;wk10
59;RB;RB23;6;James Cook;BUF;wk7
60;WR;WR30;6;Zay Flowers;BAL;wk7
61;RB;RB24;7;Joe Mixon;HOU;wk6
62;WR;WR31;6;Chris Olave;NO;wk11
63;WR;WR32;6;DJ Moore;CHI;wk5
64;WR;WR33;6;Jordan Addison;MIN;wk6
65;RB;RB25;7;Aaron Jones;MIN;wk6
66;WR;WR34;6;Rome Odunze;CHI;wk5
67;WR;WR35;6;Jaylen Waddle;MIA;wk12
68;RB;RB26;7;David Montgomery;DET;wk8
69;RB;RB27;7;D'Andre Swift;CHI;wk5
70;WR;WR36;7;Stefon Diggs;NE;wk14
71;WR;WR37;7;Jauan Jennings;SF;wk14
72;WR;WR38;7;Ricky Pearsall;SF;wk14
73;WR;WR39;7;Emeka Egbuka;TB;wk9
74;WR;WR40;7;Josh Downs;IND;wk11
75;WR;WR41;7;Chris Godwin;TB;wk9
76;WR;WR42;7;Jakobi Meyers;LV;wk8
77;TE;TE4;3;Sam LaPorta;DET;wk8
78;WR;WR43;7;Deebo Samuel;WAS;wk12
79;WR;WR44;7;Khalil Shakir;BUF;wk7
80;TE;TE5;3;T.J. Hockenson;MIN;wk6
81;WR;WR45;7;Jayden Reed;GB;wk5
82;QB;QB5;3;Josh Allen;BUF;wk7
83;QB;QB6;3;Jayden Daniels;WAS;wk12
84;QB;QB7;3;Tua Tagovailoa;MIA;wk12
85;TE;TE6;3;Travis Kelce;KC;wk10
86;WR;WR46;8;Jerry Jeudy;CLE;wk9
87;RB;RB28;8;Quinshon Judkins;CLE;wk9
88;WR;WR47;8;Matthew Golden;GB;wk5
89;RB;RB29;8;Brian Robinson;WAS;wk12
90;RB;RB30;8;Isiah Pacheco;KC;wk10
91;TE;TE7;4;Mark Andrews;BAL;wk7
92;WR;WR48;8;Darnell Mooney;ATL;wk5
93;WR;WR49;8;Jayden Higgins;HOU;wk6
94;RB;RB31;8;J.K. Dobbins;DEN;wk12
95;RB;RB32;8;Travis Etienne;JAX;wk8
96;RB;RB33;8;Jordan Mason;MIN;wk6
97;TE;TE8;4;Tucker Kraft;GB;wk5
98;TE;TE9;4;Evan Engram;DEN;wk12
99;RB;RB34;9;Jaylen Warren;PIT;wk5
100;QB;QB8;4;Kyler Murray;ARI;wk8
101;QB;QB9;4;Patrick Mahomes;KC;wk10
102;QB;QB10;4;Bo Nix;DEN;wk12
103;WR;WR50;8;Michael Pittman;IND;wk11
104;RB;RB35;9;Tyrone Tracy;NYG;wk14
105;RB;RB36;9;Rhamondre Stevenson;NE;wk14
106;WR;WR51;8;Cooper Kupp;SEA;wk8
107;RB;RB37;9;Cam Skattebo;NYG;wk14
108;WR;WR52;8;Keon Coleman;BUF;wk7
109;WR;WR53;8;Rashid Shaheed;NO;wk11
110;RB;RB38;9;Trey Benson;ARI;wk8
111;TE;TE10;4;Tyler Warren;IND;wk11
112;QB;QB11;5;Jalen Hurts;PHI;wk9
113;QB;QB12;5;Dak Prescott;DAL;wk10
114;QB;QB13;5;Jordan Love;GB;wk5
115;WR;WR54;9;Brandon Aiyuk;SF;wk14
116;QB;QB14;5;J.J. McCarthy;MIN;wk6
117;WR;WR55;9;Tre Harris;LAC;wk12
118;RB;RB39;9;Zach Charbonnet;SEA;wk8
119;WR;WR56;9;Rashod Bateman;BAL;wk7
120;QB;QB15;5;Justin Herbert;LAC;wk12
121;QB;QB16;5;Geno Smith;LV;wk8
122;WR;WR57;9;Cedric Tillman;CLE;wk9
123;WR;WR58;9;Luther Burden;CHI;wk5
124;TE;TE11;5;David Njoku;CLE;wk9
125;RB;RB40;9;Javonte Williams;DAL;wk10
126;TE;TE12;5;Colston Loveland;CHI;wk5
127;WR;WR59;9;Kyle Williams;NE;wk14
128;TE;TE13;5;Dalton Kincaid;BUF;wk7
129;RB;RB41;9;Bhayshul Tuten;JAX;wk8
130;RB;RB42;9;Rachaad White;TB;wk9
131;RB;RB43;9;Tank Bigsby;JAX;wk8
132;WR;WR60;9;Jack Bech;LV;wk8
133;RB;RB44;9;Dylan Sampson;CLE;wk9
134;QB;QB17;6;Brock Purdy;SF;wk14
135;RB;RB45;9;Najee Harris;LAC;wk12
136;RB;RB46;10;Ray Davis;BUF;wk7
137;RB;RB47;10;Jaylen Wright;MIA;wk12
138;TE;TE14;6;Kyle Pitts;ATL;wk5
139;RB;RB48;10;Jaydon Blue;DAL;wk10
140;QB;QB18;6;Drake Maye;NE;wk14
141;TE;TE15;6;Hunter Henry;NE;wk14
142;QB;QB19;6;Caleb Williams;CHI;wk5
143;RB;RB49;10;Tyjae Spears;TEN;wk10
144;RB;RB50;10;Austin Ekeler;WAS;wk12
145;QB;QB20;6;Michael Penix;ATL;wk5
146;RB;RB51;10;Tyler Allgeier;ATL;wk5
147;TE;TE16;6;Jake Ferguson;DAL;wk10
148;WR;WR61;10;Christian Kirk;HOU;wk6
149;WR;WR62;10;Quentin Johnston;LAC;wk12
150;TE;TE17;6;Brenton Strange;JAX;wk8
151;TE;TE18;6;Isaiah Likely;BAL;wk7
152;WR;WR63;10;Joshua Palmer;BUF;wk7
153;WR;WR64;10;Pat Bryant;DEN;wk12
154;TE;TE19;6;Mason Taylor;NYJ;wk9
155;RB;RB52;11;Brashard Smith;KC;wk10
156;RB;RB53;11;Miles Sanders;DAL;wk10
157;RB;RB54;11;Jarquez Hunter;LAR;wk8
158;WR;WR65;10;Jaylin Noel;HOU;wk6
159;TE;TE20;6;Elijah Arroyo;SEA;wk8
160;WR;WR66;10;Alec Pierce;IND;wk11
161;WR;WR67;10;Andrei Iosivas;CIN;wk10
162;WR;WR68;10;Marquise Brown;KC;wk10
163;WR;WR69;10;Xavier Legette;CAR;wk14
164;RB;RB55;11;Isaac Guerendo;SF;wk14
165;TE;TE21;6;Dallas Goedert;PHI;wk9
166;QB;QB21;7;Matthew Stafford;LAR;wk8
167;RB;RB56;11;Nick Chubb;HOU;wk6
168;QB;QB22;7;Trevor Lawrence;JAX;wk8
169;WR;WR70;10;Adam Thielen;CAR;wk14
170;RB;RB57;11;Jerome Ford;CLE;wk9
171;QB;QB23;7;C.J. Stroud;HOU;wk6
172;QB;QB24;7;Cameron Ward;TEN;wk10
173;WR;WR71;10;Wan'Dale Robinson;NYG;wk14
174;WR;WR72;10;Jalen McMillan;TB;wk9
175;RB;RB58;11;Roschon Johnson;CHI;wk5
176;WR;WR73;10;Romeo Doubs;GB;wk5
177;RB;RB59;11;Braelon Allen;NYJ;wk9
178;TE;TE22;6;Zach Ertz;WAS;wk12
179;TE;TE23;7;Jonnu Smith;PIT;wk5
180;RB;RB60;11;Rico Dowdle;CAR;wk14
181;WR;WR74;10;Marvin Mims;DEN;wk12
182;QB;QB25;7;Sam Darnold;SEA;wk8
183;WR;WR75;10;Dont'e Thornton Jr.;LV;wk8
184;TE;TE24;7;Mike Gesicki;CIN;wk10
185;RB;RB61;11;DJ Giddens;IND;wk11
186;QB;QB26;7;Aaron Rodgers;PIT;wk5
187;TE;TE25;7;Terrance Ferguson;LAR;wk8
188;RB;RB62;11;Woody Marks;HOU;wk6
189;WR;WR76;10;Darius Slayton;NYG;wk14
190;TE;TE26;7;Juwan Johnson;NO;wk11
191;QB;QB27;7;Daniel Jones;IND;wk11
192;QB;QB28;8;Justin Fields;NYJ;wk9
193;RB;RB63;12;Kareem Hunt;KC;wk10
194;TE;TE27;7;Cade Otton;TB;wk9
195;TE;TE28;7;Pat Freiermuth;PIT;wk5
196;RB;RB64;12;Kyle Monangai;CHI;wk5
197;WR;WR77;10;Dontayvion Wicks;GB;wk5
198;RB;RB65;12;Justice Hill;BAL;wk7
199;TE;TE29;7;Dalton Schultz;HOU;wk6
200;RB;RB66;12;Devin Neal;NO;wk11
201;WR;WR78;10;DeMario Douglas;NE;wk14
202;WR;WR79;10;Jalen Coker;CAR;wk14
203;WR;WR80;10;Keenan Allen;LAC;wk12
204;TE;TE30;7;Darren Waller;MIA;wk12
205;RB;RB67;12;MarShawn Lloyd;GB;wk5
206;WR;WR81;10;Dyami Brown;JAX;wk8
207;RB;RB68;12;Tahj Brooks;CIN;wk10
208;QB;QB29;8;Bryce Young;CAR;wk14
209;QB;QB30;8;Anthony Richardson;IND;wk11
210;WR;WR82;10;Amari Cooper;;
211;WR;WR83;10;Savion Williams;GB;wk5
212;WR;WR84;10;Elic Ayomanor;TEN;wk10
