OVR;Pos;Rank;Tier;Name;Team;Bye
1;QB;QB1;1;Lamar Jackson;BAL;
2;QB;QB2;1;Josh Allen;BUF;
3;QB;QB3;1;Jayden Daniels;WAS;
4;WR;WR1;1;Ja'Marr Chase;CIN;
5;QB;QB4;1;Jalen Hurts;PHI;
6;QB;QB5;1;Joe Burrow;CIN;
7;WR;WR2;1;Justin Jefferson;MIN;
8;WR;WR3;1;CeeDee Lamb;DAL;
9;WR;WR4;1;Malik Nabers;NYG;
10;WR;WR5;1;Puka Nacua;LAR;
11;QB;QB6;1;Patrick Mahomes;KC;
12;WR;WR6;1;Amon-Ra St. Brown;DET;
13;RB;RB1;1;Jahmyr Gibbs;DET;
14;RB;RB2;1;Bijan Robinson;ATL;
15;QB;QB7;1;Caleb Williams;CHI;
16;TE;TE1;1;Brock Bowers;LV;
17;WR;WR7;1;Brian Thomas;JAX;
18;RB;RB3;1;Ashton Jeanty;LV;
19;QB;QB8;1;Drake Maye;NE;
20;WR;WR8;1;Drake London;ATL;
21;WR;WR9;1;Jaxon Smith-Njigba;SEA;
22;QB;QB9;1;Brock Purdy;SF;
23;WR;WR10;1;Ladd McConkey;LAC;
24;QB;QB10;1;Bo Nix;DEN;
25;WR;WR11;1;Marvin Harrison;ARI;
26;TE;TE2;1;Trey McBride;ARI;
27;WR;WR12;1;Nico Collins;HOU;
28;RB;RB4;1;Omarion Hampton;LAC;
29;WR;WR13;1;Tetairoa McMillan;CAR;
30;QB;QB11;1;Justin Herbert;LAC;
31;QB;QB12;1;Kyler Murray;ARI;
32;WR;WR14;1;Garrett Wilson;NYJ;
33;WR;WR15;1;Travis Hunter;JAX;
34;QB;QB13;1;C.J. Stroud;HOU;
35;WR;WR16;1;A.J. Brown;PHI;
36;WR;WR17;1;Rashee Rice;KC;
37;RB;RB5;1;Saquon Barkley;PHI;
38;RB;RB6;1;Devon Achane;MIA;
39;QB;QB14;1;Baker Mayfield;TB;
40;QB;QB15;1;Jordan Love;GB;
41;WR;WR18;1;Tee Higgins;CIN;
42;QB;QB16;1;Jared Goff;DET;
43;RB;RB7;1;Bucky Irving;TB;
44;RB;RB8;1;TreVeyon Henderson;NE;
45;QB;QB17;1;Dak Prescott;DAL;
46;QB;QB18;1;Cameron Ward;TEN;
47;WR;WR19;1;Rome Odunze;CHI;
48;QB;QB19;1;Michael Penix;ATL;
49;TE;TE3;1;Tyler Warren;IND;
50;RB;RB9;1;Jonathan Taylor;IND;
51;WR;WR20;1;DeVonta Smith;PHI;
52;WR;WR21;1;Emeka Egbuka;TB;
53;WR;WR22;1;Xavier Worthy;KC;
54;QB;QB20;1;Bryce Young;CAR;
55;RB;RB10;1;Kyren Williams;LAR;
56;QB;QB21;1;Trevor Lawrence;JAX;
57;RB;RB11;1;Quinshon Judkins;CLE;
58;WR;WR23;1;Zay Flowers;BAL;
59;RB;RB12;1;Breece Hall;NYJ;
60;RB;RB13;1;James Cook;BUF;
61;RB;RB14;1;Josh Jacobs;GB;
62;WR;WR24;1;DK Metcalf;PIT;
63;WR;WR25;1;Chris Olave;NO;
64;WR;WR26;1;Jordan Addison;MIN;
65;TE;TE4;1;Sam LaPorta;DET;
66;QB;QB22;1;J.J. McCarthy;MIN;
67;TE;TE5;1;Colston Loveland;CHI;
68;RB;RB15;1;Kaleb Johnson;PIT;
69;WR;WR27;1;DJ Moore;CHI;
70;RB;RB16;1;Derrick Henry;BAL;
71;WR;WR28;1;George Pickens;DAL;
72;WR;WR29;1;Jameson Williams;DET;
73;RB;RB17;1;RJ Harvey;DEN;
74;WR;WR30;1;Tyreek Hill;MIA;
