OVR;Pos;Rank;Tier;Name;Team;Bye;
1;QB;QB1;1;Lamar Jackson;BAL;wk7;
2;QB;QB2;1;Josh Allen;BUF;wk7;
3;QB;QB3;1;Jayden Daniels;WAS;wk12;
4;QB;QB4;1;Jalen Hurts;PHI;wk9;
5;QB;QB5;2;Joe Burrow;CIN;wk10;
6;WR;WR1;1;Ja'Marr Chase;CIN;wk10;
7;WR;WR2;1;CeeDee Lamb;DAL;wk10;
8;RB;RB1;1;Bijan Robinson;ATL;wk5;
9;RB;RB2;1;Saquon Barkley;PHI;wk9;
10;RB;RB3;1;Jahmyr Gibbs;DET;wk8;
11;QB;QB6;3;Justin Fields;NYJ;wk9;
12;QB;QB7;3;Bo Nix;DEN;wk12;
13;QB;QB8;3;Brock Purdy;SF;wk14;
14;WR;WR3;1;Puka Nacua;LAR;wk8;
15;WR;WR4;1;Justin Jefferson;MIN;wk6;
16;WR;WR5;2;Brian Thomas;JAX;wk8;
17;WR;WR6;2;Nico Collins;HOU;wk6;
18;WR;WR7;2;Amon-Ra St. Brown;DET;wk8;
19;RB;RB4;1;De'Von Achane;MIA;wk12;
20;QB;QB9;3;Kyler Murray;ARI;wk8;
21;QB;QB10;3;Patrick Mahomes;KC;wk10;
22;QB;QB11;3;Dak Prescott;DAL;wk10;
23;QB;QB12;3;Justin Herbert;LAC;wk12;
24;QB;QB13;3;Drake Maye;NE;wk14;
25;RB;RB5;2;Christian McCaffrey;SF;wk14;
26;RB;RB6;2;Derrick Henry;BAL;wk7;
27;WR;WR8;2;Malik Nabers;NYG;wk14;
28;QB;QB14;3;Baker Mayfield;TB;wk9;
29;QB;QB15;3;Caleb Williams;CHI;wk5;
30;WR;WR9;2;A.J. Brown;PHI;wk9;
31;WR;WR10;3;Drake London;ATL;wk5;
32;WR;WR11;3;Tee Higgins;CIN;wk10;
33;RB;RB7;2;Ashton Jeanty;LV;wk8;
34;RB;RB8;2;Bucky Irving;TB;wk9;
35;RB;RB9;2;Josh Jacobs;GB;wk5;
36;RB;RB10;2;Chase Brown;CIN;wk10;
37;RB;RB11;2;Kyren Williams;LAR;wk8;
38;WR;WR12;3;Rashee Rice;KC;wk10;
39;QB;QB16;3;Jordan Love;GB;wk5;
40;QB;QB17;3;Jared Goff;DET;wk8;
41;WR;WR13;3;Jaxon Smith-Njigba;SEA;wk8;
42;TE;TE1;1;Brock Bowers;LV;wk8;
43;WR;WR14;3;Ladd McConkey;LAC;wk12;
44;TE;TE2;1;Trey McBride;ARI;wk8;
45;WR;WR15;4;Davante Adams;LAR;wk8;
46;RB;RB12;2;Jonathan Taylor;IND;wk11;
47;RB;RB13;2;Alvin Kamara;NO;wk11;
48;QB;QB18;4;Tua Tagovailoa;MIA;wk12;
49;QB;QB19;4;Matthew Stafford;LAR;wk8;
50;QB;QB20;4;J.J. McCarthy;MIN;wk6;
51;WR;WR16;4;Tyreek Hill;MIA;wk12;
52;WR;WR17;4;Mike Evans;TB;wk9;
53;RB;RB14;2;Joe Mixon;HOU;wk6;
54;RB;RB15;2;James Cook;BUF;wk7;
55;TE;TE3;1;George Kittle;SF;wk14;
56;QB;QB21;5;C.J. Stroud;HOU;wk6;
57;QB;QB22;5;Geno Smith;LV;wk8;
58;WR;WR18;4;Terry McLaurin;WAS;wk12;
59;WR;WR19;4;Garrett Wilson;NYJ;wk9;
60;WR;WR20;4;DJ Moore;CHI;wk5;
61;WR;WR21;5;DK Metcalf;PIT;wk5;
62;RB;RB16;3;James Conner;ARI;wk8;
63;RB;RB17;3;Breece Hall;NYJ;wk9;
64;RB;RB18;3;Chuba Hubbard;CAR;wk14;
65;RB;RB19;3;Kenneth Walker;SEA;wk8;
66;WR;WR22;5;George Pickens;DAL;wk10;
67;WR;WR23;5;DeVonta Smith;PHI;wk9;
68;WR;WR24;5;Jaylen Waddle;MIA;wk12;
69;WR;WR25;5;Zay Flowers;BAL;wk7;
70;WR;WR26;5;Marvin Harrison;ARI;wk8;
