OVR;Pos;Rank;Tier;Name;Team;Bye
1;WR;WR1;1;Ja'Marr Chase;CIN;wk10
2;RB;RB1;1;Bijan Robinson;ATL;wk5
3;RB;RB2;1;Jahmyr Gibbs;DET;wk8
4;WR;WR2;1;CeeDee Lamb;DAL;wk10
5;WR;WR3;1;Justin Jefferson;MIN;wk6
6;RB;RB3;1;Saquon Barkley;PHI;wk9
7;RB;RB4;2;Christian McCaffrey;SF;wk14
8;RB;RB5;2;Ashton Jeanty;LV;wk8
9;WR;WR4;2;Brian Thomas;JAX;wk8
10;WR;WR5;2;Nico Collins;HOU;wk6
11;WR;WR6;2;Puka Nacua;LAR;wk8
12;RB;RB6;2;Devon Achane;MIA;wk12
13;WR;WR7;3;Malik Nabers;NYG;wk14
14;WR;WR8;3;Amon-Ra St. Brown;DET;wk8
15;RB;RB7;3;Derrick Henry;BAL;wk7
16;RB;RB8;3;Josh Jacobs;GB;wk5
17;RB;RB9;3;Bucky Irving;TB;wk9
18;RB;RB10;3;Chase Brown;CIN;wk10
19;WR;WR9;3;Drake London;ATL;wk5
20;WR;WR10;4;A.J. Brown;PHI;wk9
21;TE;TE1;1;Brock Bowers;LV;wk8
22;WR;WR11;4;Tee Higgins;CIN;wk10
23;RB;RB11;4;Jonathan Taylor;IND;wk11
24;RB;RB12;4;Kyren Williams;LAR;wk8
25;WR;WR12;4;Tyreek Hill;MIA;wk12
26;WR;WR13;4;Ladd McConkey;LAC;wk12
27;WR;WR14;4;Mike Evans;TB;wk9
28;WR;WR15;5;Davante Adams;LAR;wk8
29;WR;WR16;5;Garrett Wilson;NYJ;wk9
30;TE;TE2;1;Trey McBride;ARI;wk8
31;RB;RB13;5;Breece Hall;NYJ;wk9
32;WR;WR17;5;Marvin Harrison;ARI;wk8
33;RB;RB14;5;Omarion Hampton;LAC;wk12
34;WR;WR18;5;Tetairoa McMillan;CAR;wk14
35;RB;RB15;5;TreVeyon Henderson;NE;wk14
36;WR;WR19;5;Rashee Rice;KC;wk10
37;RB;RB16;5;Alvin Kamara;NO;wk11
38;WR;WR20;5;Terry McLaurin;WAS;wk12
39;WR;WR21;5;Jaxon Smith-Njigba;SEA;wk8
40;QB;QB1;1;Lamar Jackson;BAL;wk7
41;QB;QB2;1;Josh Allen;BUF;wk7
42;WR;WR22;5;Courtland Sutton;DEN;wk12
43;RB;RB17;6;James Conner;ARI;wk8
44;RB;RB18;6;Chuba Hubbard;CAR;wk14
45;TE;TE3;1;George Kittle;SF;wk14
46;RB;RB19;6;James Cook;BUF;wk7
47;WR;WR23;6;Jameson Williams;DET;wk8
48;WR;WR24;6;Xavier Worthy;KC;wk10
49;WR;WR25;6;George Pickens;DAL;wk10
50;WR;WR26;6;DeVonta Smith;PHI;wk9
51;QB;QB3;2;Jayden Daniels;WAS;wk12
52;RB;RB20;6;Kenneth Walker;SEA;wk8
53;WR;WR27;6;Travis Hunter;JAX;wk8
54;WR;WR28;6;DK Metcalf;PIT;wk5
55;QB;QB4;2;Jalen Hurts;PHI;wk9
56;RB;RB21;6;RJ Harvey;DEN;wk12
57;RB;RB22;6;Kaleb Johnson;PIT;wk5
58;WR;WR29;6;Calvin Ridley;TEN;wk10
59;WR;WR30;7;Rome Odunze;CHI;wk5
60;WR;WR31;7;Jaylen Waddle;MIA;wk12
61;WR;WR32;7;Jordan Addison;MIN;wk6
62;WR;WR33;7;DJ Moore;CHI;wk5
63;WR;WR34;7;Zay Flowers;BAL;wk7
64;RB;RB23;7;Joe Mixon;HOU;wk6
65;RB;RB24;7;Tony Pollard;TEN;wk10
66;WR;WR35;7;Chris Olave;NO;wk11
67;RB;RB25;7;Aaron Jones;MIN;wk6
68;RB;RB26;7;David Montgomery;DET;wk8
69;RB;RB27;7;D'Andre Swift;CHI;wk5
70;WR;WR36;8;Stefon Diggs;NE;wk14
71;WR;WR37;8;Jauan Jennings;SF;wk14
72;WR;WR38;8;Ricky Pearsall;SF;wk14
73;WR;WR39;8;Emeka Egbuka;TB;wk9
74;WR;WR40;8;Josh Downs;IND;wk11
75;WR;WR41;8;Jerry Jeudy;CLE;wk9
76;TE;TE4;2;Sam LaPorta;DET;wk8
77;QB;QB5;3;Joe Burrow;CIN;wk10
78;WR;WR42;8;Chris Godwin;TB;wk9
79;RB;RB28;8;Quinshon Judkins;CLE;wk9
80;WR;WR43;8;Deebo Samuel;WAS;wk12
81;WR;WR44;8;Jakobi Meyers;LV;wk8
82;WR;WR45;8;Matthew Golden;GB;wk5
83;TE;TE5;2;Mark Andrews;BAL;wk7
84;WR;WR46;8;Jayden Reed;GB;wk5
85;RB;RB29;8;Brian Robinson;WAS;wk12
86;WR;WR47;8;Khalil Shakir;BUF;wk7
87;RB;RB30;8;Isiah Pacheco;KC;wk10
88;TE;TE6;3;T.J. Hockenson;MIN;wk6
89;QB;QB6;4;Bo Nix;DEN;wk12
90;QB;QB7;4;Baker Mayfield;TB;wk9
91;QB;QB8;4;Patrick Mahomes;KC;wk10
92;QB;QB9;4;Kyler Murray;ARI;wk8
93;TE;TE7;3;Travis Kelce;KC;wk10
94;QB;QB10;4;Brock Purdy;SF;wk14
95;WR;WR48;9;Jayden Higgins;HOU;wk6
96;WR;WR49;9;Darnell Mooney;ATL;wk5
97;RB;RB31;8;J.K. Dobbins;DEN;wk12
98;RB;RB32;8;Travis Etienne;JAX;wk8
99;WR;WR50;9;Cooper Kupp;SEA;wk8
100;RB;RB33;8;Cam Skattebo;NYG;wk14
101;RB;RB34;8;Jordan Mason;MIN;wk6
102;TE;TE8;3;Tucker Kraft;GB;wk5
103;QB;QB11;5;Justin Fields;NYJ;wk9
104;TE;TE9;3;Evan Engram;DEN;wk12
105;WR;WR51;9;Brandon Aiyuk;SF;wk14
106;RB;RB35;9;Jaylen Warren;PIT;wk5
107;WR;WR52;9;Michael Pittman;IND;wk11
108;QB;QB12;5;Drake Maye;NE;wk14
109;RB;RB36;9;Tyrone Tracy;NYG;wk14
110;QB;QB13;5;Dak Prescott;DAL;wk10
111;RB;RB37;9;Rhamondre Stevenson;NE;wk14
112;WR;WR53;9;Keon Coleman;BUF;wk7
113;WR;WR54;9;Rashid Shaheed;NO;wk11
114;WR;WR55;9;Luther Burden;CHI;wk5
115;RB;RB38;9;Trey Benson;ARI;wk8
116;WR;WR56;9;Tre Harris;LAC;wk12
117;QB;QB14;5;Caleb Williams;CHI;wk5
118;TE;TE10;4;David Njoku;CLE;wk9
119;RB;RB39;9;Zach Charbonnet;SEA;wk8
120;WR;WR57;9;Rashod Bateman;BAL;wk7
121;RB;RB40;9;Javonte Williams;DAL;wk10
122;TE;TE11;4;Tyler Warren;IND;wk11
123;TE;TE12;4;Colston Loveland;CHI;wk5
124;WR;WR58;9;Kyle Williams;NE;wk14
125;QB;QB15;6;Justin Herbert;LAC;wk12
126;QB;QB16;6;Jordan Love;GB;wk5
127;TE;TE13;4;Dalton Kincaid;BUF;wk7
128;RB;RB41;9;Bhayshul Tuten;JAX;wk8
129;RB;RB42;9;Rachaad White;TB;wk9
130;RB;RB43;9;Tank Bigsby;JAX;wk8
131;QB;QB17;6;Jared Goff;DET;wk8
132;RB;RB44;9;Dylan Sampson;CLE;wk9
133;WR;WR59;9;Cedric Tillman;CLE;wk9
134;WR;WR60;10;Jack Bech;LV;wk8
135;QB;QB18;6;J.J. McCarthy;MIN;wk6
136;RB;RB45;9;Najee Harris;LAC;wk12
137;RB;RB46;10;Ray Davis;BUF;wk7
138;RB;RB47;10;Jaylen Wright;MIA;wk12
139;TE;TE14;5;Kyle Pitts;ATL;wk5
140;RB;RB48;10;Jaydon Blue;DAL;wk10
141;QB;QB19;7;Trevor Lawrence;JAX;wk8
142;RB;RB49;10;Tyjae Spears;TEN;wk10
143;RB;RB50;10;Austin Ekeler;WAS;wk12
144;QB;QB20;7;C.J. Stroud;HOU;wk6
145;RB;RB51;10;Tyler Allgeier;ATL;wk5
146;TE;TE15;5;Jake Ferguson;DAL;wk10
147;WR;WR61;10;Christian Kirk;HOU;wk6
148;WR;WR62;10;Quentin Johnston;LAC;wk12
149;TE;TE16;5;Hunter Henry;NE;wk14
150;QB;QB21;7;Tua Tagovailoa;MIA;wk12
151;TE;TE17;5;Brenton Strange;JAX;wk8
152;TE;TE18;5;Isaiah Likely;BAL;wk7
153;WR;WR63;10;Joshua Palmer;BUF;wk7
154;WR;WR64;10;Pat Bryant;DEN;wk12
155;TE;TE19;5;Mason Taylor;NYJ;wk9
156;RB;RB52;11;Brashard Smith;KC;wk10
157;RB;RB53;11;Miles Sanders;DAL;wk10
158;RB;RB54;11;Jarquez Hunter;LAR;wk8
159;WR;WR65;10;Jaylin Noel;HOU;wk6
160;TE;TE20;5;Elijah Arroyo;SEA;wk8
161;WR;WR66;10;Alec Pierce;IND;wk11
162;WR;WR67;10;Andrei Iosivas;CIN;wk10
163;WR;WR68;10;Marquise Brown;KC;wk10
164;WR;WR69;10;Xavier Legette;CAR;wk14
165;RB;RB55;11;Isaac Guerendo;SF;wk14
166;TE;TE21;5;Dallas Goedert;PHI;wk9
167;QB;QB22;7;Michael Penix;ATL;wk5
168;RB;RB56;11;Nick Chubb;HOU;wk6
169;QB;QB23;7;Bryce Young;CAR;wk14
170;WR;WR70;10;Adam Thielen;CAR;wk14
171;RB;RB57;11;Jerome Ford;CLE;wk9
172;QB;QB24;7;Matthew Stafford;LAR;wk8
173;QB;QB25;7;Geno Smith;LV;wk8
174;WR;WR71;10;Wan'Dale Robinson;NYG;wk14
175;WR;WR72;10;Jalen McMillan;TB;wk9
176;RB;RB58;11;Roschon Johnson;CHI;wk5
177;WR;WR73;10;Romeo Doubs;GB;wk5
178;RB;RB59;11;Braelon Allen;NYJ;wk9
179;TE;TE22;6;Zach Ertz;WAS;wk12
180;TE;TE23;6;Jonnu Smith;PIT;wk5
181;RB;RB60;11;Rico Dowdle;CAR;wk14
182;WR;WR74;10;Marvin Mims;DEN;wk12
183;QB;QB26;7;Anthony Richardson;IND;wk11
184;WR;WR75;10;Dont'e Thornton Jr.;LV;wk8
185;TE;TE24;6;Mike Gesicki;CIN;wk10
186;RB;RB61;11;DJ Giddens;IND;wk11
187;QB;QB27;7;Daniel Jones;IND;wk11
188;TE;TE25;6;Terrance Ferguson;LAR;wk8
189;RB;RB62;11;Woody Marks;HOU;wk6
190;WR;WR76;10;Darius Slayton;NYG;wk14
191;TE;TE26;6;Juwan Johnson;NO;wk11
192;QB;QB28;7;Aaron Rodgers;PIT;wk5
193;QB;QB29;7;Cameron Ward;TEN;wk10
194;RB;RB63;12;Kareem Hunt;KC;wk10
195;TE;TE27;6;Cade Otton;TB;wk9
196;TE;TE28;6;Pat Freiermuth;PIT;wk5
197;RB;RB64;12;Kyle Monangai;CHI;wk5
198;WR;WR77;10;Dontayvion Wicks;GB;wk5
199;RB;RB65;12;Justice Hill;BAL;wk7
200;TE;TE29;6;Dalton Schultz;HOU;wk6
201;RB;RB66;12;Devin Neal;NO;wk11
202;WR;WR78;10;DeMario Douglas;NE;wk14
203;WR;WR79;10;Jalen Coker;CAR;wk14
204;WR;WR80;10;Keenan Allen;LAC;wk12
205;TE;TE30;6;Darren Waller;MIA;wk12
206;RB;RB67;12;MarShawn Lloyd;GB;wk5
207;WR;WR81;10;Dyami Brown;JAX;wk8
208;RB;RB68;12;Tahj Brooks;CIN;wk10
209;QB;QB30;8;Sam Darnold;SEA;wk8
210;WR;WR82;10;Amari Cooper;;
211;WR;WR83;10;Savion Williams;GB;wk5
212;WR;WR84;10;Elic Ayomanor;TEN;wk10
