OVR;Pos;Rank;Tier;Name;Team;Bye
1;RB;RB1;;Bijan Robinson;ATL;
2;RB;RB2;;Jahmyr Gibbs;DET;
3;WR;WR1;;Jaxon Smith-Njigba;SEA;
4;WR;WR2;;Ja'Marr Chase;CIN;
5;WR;WR3;;Puka Nacua;LAR;
6;QB;QB1;;Josh Allen;BUF;
7;QB;QB2;;Drake Maye;NE;
8;TE;TE1;;Brock Bowers;LV;
9;WR;WR4;;Amon-Ra St. Brown;DET;
10;TE;TE2;;Trey McBride;ARI;
11;QB;QB3;;Lamar Jackson;BAL;
12;QB;QB4;;Caleb Williams;CHI;
13;QB;QB5;;Jayden Daniels;WAS;
14;QB;QB6;;Joe Burrow;CIN;
15;RB;RB3;;Ashton Jeanty;LV;
16;RB;RB4;;Jeremiyah Love;ARI;
17;WR;WR5;;Justin Jefferson;MIN;
18;WR;WR6;;Malik Nabers;NYG;
19;RB;RB5;;Omarion Hampton;LAC;
20;RB;RB6;;Devon Achane;MIA;
21;WR;WR7;;CeeDee Lamb;DAL;
22;WR;WR8;;Drake London;ATL;
23;TE;TE3;;Colston Loveland;CHI;
24;QB;QB7;;Justin Herbert;LAC;
25;QB;QB8;;Patrick Mahomes;KC;
26;QB;QB9;;Trevor Lawrence;JAX;
27;RB;RB7;;Jonathan Taylor;IND;
28;RB;RB8;;James Cook;BUF;
29;QB;QB10;;Brock Purdy;SF;
30;WR;WR9;;Tetairoa McMillan;CAR;
31;QB;QB11;;Jaxson Dart;NYG;
32;QB;QB12;;Jalen Hurts;PHI;
33;WR;WR10;;George Pickens;DAL;
34;WR;WR11;;Carnell Tate;TEN;
35;WR;WR12;;Garrett Wilson;NYJ;
36;WR;WR13;;Chris Olave;NO;
37;RB;RB9;;Kenneth Walker;KC;
38;QB;QB13;;Dak Prescott;DAL;
39;WR;WR14;;Emeka Egbuka;TB;
40;QB;QB14;;Bo Nix;DEN;
41;QB;QB15;;Fernando Mendoza;LV;
42;RB;RB10;;Chase Brown;CIN;
43;TE;TE4;;Tyler Warren;IND;
44;WR;WR15;;Nico Collins;HOU;
45;RB;RB11;;Breece Hall;NYJ;
46;WR;WR16;;Rashee Rice;KC;
47;RB;RB12;;Jadarian Price;SEA;
48;WR;WR17;;Jordyn Tyson;NO;
49;QB;QB16;;Jared Goff;DET;
50;WR;WR18;;Makai Lemon;PHI;
51;WR;WR19;;Ladd McConkey;LAC;
52;RB;RB13;;Christian McCaffrey;SF;
53;TE;TE5;;Harold Fannin;CLE;
54;RB;RB14;;Quinshon Judkins;CLE;
55;RB;RB15;;TreVeyon Henderson;NE;
56;TE;TE6;;Tucker Kraft;GB;
57;WR;WR20;;Luther Burden;CHI;
58;QB;QB17;;Jordan Love;GB;
59;WR;WR21;;Rome Odunze;CHI;
60;QB;QB18;;Baker Mayfield;TB;
61;RB;RB16;;Kyren Williams;LAR;
62;RB;RB17;;Cam Skattebo;NYG;
63;RB;RB18;;Bucky Irving;TB;
64;WR;WR22;;Zay Flowers;BAL;
65;RB;RB19;;Saquon Barkley;PHI;
66;RB;RB20;;Javonte Williams;DAL;
67;WR;WR23;;Tee Higgins;CIN;
68;WR;WR24;;Brian Thomas;JAX;
69;WR;WR25;;DeVonta Smith;PHI;
70;RB;RB21;;Travis Etienne;NO;
71;WR;WR26;;A.J. Brown;NE;
72;QB;QB19;;Kyler Murray;MIN;
73;TE;TE7;;Kenyon Sadiq;NYJ;
74;WR;WR27;;Marvin Harrison;ARI;
75;QB;QB20;;Tyler Shough;NO;
76;TE;TE8;;Kyle Pitts;ATL;
77;TE;TE9;;Sam LaPorta;DET;
78;RB;RB22;;Derrick Henry;BAL;
79;WR;WR28;;Jaylen Waddle;DEN;
80;QB;QB21;;Matthew Stafford;LAR;
81;RB;RB23;;Bhayshul Tuten;JAX;
82;RB;RB24;;Josh Jacobs;GB;
