OVR,Rank,Tier,Name
1,RB1,1,Christian McCaffrey
2,WR1,1,CeeDee Lamb
3,WR2,1,Tyreek Hill
4,RB2,1,Breece Hall
5,WR3,1,Amon-Ra St. Brown
6,WR4,2,Ja'Marr Chase
7,RB3,1,Bijan Robinson
8,WR5,2,Justin Jefferson
9,WR6,2,A.J. Brown
10,WR7,2,Garrett Wilson
11,RB4,2,Jonathan Taylor
12,RB5,2,Saquon Barkley
13,RB6,2,Travis Etienne
14,RB7,2,Jahmyr Gibbs
15,RB8,2,De'Von Achane
16,RB9,2,Derrick Henry
17,WR8,3,Drake London
18,WR9,3,Puka Nacua
19,WR10,3,Marvin Harrison
20,RB10,2,Isiah Pacheco
21,RB11,3,Kyren Williams
22,RB12,3,Joe Mixon
23,WR11,3,Chris Olave
24,WR12,3,Nico Collins
25,WR13,3,Brandon Aiyuk
26,WR14,3,Mike Evans
27,WR15,3,Deebo Samuel
28,WR16,4,DK Metcalf
29,WR17,4,Jaylen Waddle
30,WR18,4,Cooper Kupp
31,WR19,4,Tee Higgins
32,RB13,3,Josh Jacobs
33,QB1,1,Patrick Mahomes
34,QB2,1,Josh Allen
35,WR20,4,Amari Cooper
36,TE1,1,Travis Kelce
37,WR21,5,Malik Nabers
38,WR22,5,DJ Moore
39,QB3,1,Joe Burrow
40,WR23,5,DeVonta Smith
41,WR24,5,Davante Adams
42,TE2,1,Sam LaPorta
43,RB14,3,Alvin Kamara
44,WR25,5,Michael Pittman
45,QB4,1,C.J. Stroud
46,WR26,5,Rashee Rice
47,TE3,1,Mark Andrews
48,RB15,3,James Cook
49,WR27,6,Chris Godwin
50,QB5,2,Jalen Hurts
51,TE4,1,Trey McBride
52,RB16,3,Rachaad White
53,RB17,3,David Montgomery
54,WR28,6,George Pickens
55,WR29,6,Christian Kirk
56,QB6,2,Jordan Love
57,WR30,6,Tank Dell
58,WR31,6,Diontae Johnson
59,WR32,6,Terry McLaurin
60,TE5,2,Dalton Kincaid
61,TE6,2,Kyle Pitts
62,RB18,4,James Conner
63,WR33,7,Zay Flowers
64,WR34,7,Stefon Diggs
65,WR35,7,Xavier Worthy
66,WR36,7,Keenan Allen
67,RB19,4,Rhamondre Stevenson
68,TE7,2,George Kittle
69,WR37,7,Ladd McConkey
70,WR38,7,Calvin Ridley
71,RB20,4,Aaron Jones
72,RB21,4,Najee Harris
73,RB22,4,Raheem Mostert
74,RB23,4,Kenneth Walker
75,RB24,4,Jaylen Warren
76,TE8,3,David Njoku
77,TE9,3,Evan Engram
78,WR39,7,Brian Thomas
79,QB7,2,Dak Prescott
80,QB8,2,Lamar Jackson
81,RB25,4,Javonte Williams
82,RB26,5,Jerome Ford
83,WR40,7,Rome Odunze
84,WR41,8,Jaxon Smith-Njigba
85,WR42,8,Courtland Sutton
86,WR43,8,Joshua Palmer
87,WR44,8,Keon Coleman
88,WR45,8,Christian Watson
89,QB9,2,Kyler Murray
90,TE10,3,Jake Ferguson
91,RB27,5,D'Andre Swift
92,RB28,5,Jonathon Brooks
93,WR46,8,Jayden Reed
94,WR47,9,Brandin Cooks
95,QB10,2,Brock Purdy
96,RB29,5,Zamir White
97,QB11,3,Tua Tagovailoa
98,QB12,3,Jared Goff
99,QB13,3,Anthony Richardson
100,WR48,9,Jordan Addison
101,WR49,9,Rashid Shaheed
102,TE11,4,Brock Bowers
103,WR50,9,Marquise Brown
104,RB30,5,Tyjae Spears
105,RB31,5,Gus Edwards
106,RB32,6,Devin Singletary
107,WR51,9,DeAndre Hopkins
108,TE12,4,Dallas Goedert
109,QB14,3,Matthew Stafford
110,RB33,6,Brian Robinson
111,RB34,6,Zack Moss
112,RB35,6,Ezekiel Elliott
113,QB15,3,Trevor Lawrence
114,WR52,9,Dontayvion Wicks
115,WR53,9,Mike Williams
116,WR54,10,Jahan Dotson
117,WR55,10,Adonai Mitchell
118,RB36,6,Tony Pollard
119,RB37,6,Chuba Hubbard
120,RB38,7,Austin Ekeler
121,RB39,7,Chase Brown
122,RB40,7,Rico Dowdle
123,RB41,7,Blake Corum
124,TE13,5,Pat Freiermuth
125,QB16,3,Justin Herbert
126,RB42,7,Tyler Allgeier
127,WR56,10,Tyler Lockett
128,WR57,10,Curtis Samuel
129,WR58,10,Jerry Jeudy
130,WR59,10,Jameson Williams
131,WR60,10,Michael Wilson
132,QB17,3,Caleb Williams
133,QB18,3,Aaron Rodgers
134,WR61,10,Jakobi Meyers
135,WR62,10,Demario Douglas
136,WR63,10,Ja'Lynn Polk
137,TE14,5,Luke Musgrave
138,RB43,8,Zach Charbonnet
139,RB44,8,Jaleel McLaughlin
140,RB45,8,MarShawn Lloyd
141,RB46,8,Trey Benson
142,QB19,4,Kirk Cousins
143,QB20,4,Jayden Daniels
144,TE15,5,Taysom Hill
145,WR64,10,Romeo Doubs
146,WR65,10,Khalil Shakir
147,WR66,10,Javon Baker
148,WR67,10,Darnell Mooney
149,TE16,6,Hunter Henry
150,RB47,8,Ray Davis
151,RB48,8,J.K. Dobbins
152,RB49,8,Tyrone Tracy
153,RB50,8,Nick Chubb
