OVR,Rank,Tier,Name
1,RB1,1,Christian McCaffrey
2,WR1,1,CeeDee Lamb
3,RB2,1,Breece Hall
4,WR2,1,Tyreek Hill
5,RB3,1,Kyren Williams
6,WR3,1,Amon-Ra St. Brown
7,RB4,1,Bijan Robinson
8,WR4,1,Puka Nacua
9,RB5,2,Saquon Barkley
10,WR5,2,Ja'Marr Chase
11,RB6,2,Jahmyr Gibbs
12,WR6,2,A.J. Brown
13,RB7,2,Derrick Henry
14,WR7,2,Garrett Wilson
15,RB8,2,Isiah Pacheco
16,WR8,2,Nico Collins
17,RB9,3,Jonathan Taylor
18,WR9,2,Cooper Kupp
19,RB10,3,De'Von Achane
20,WR10,3,Justin Jefferson
21,RB11,3,Travis Etienne
22,WR11,3,DK Metcalf
23,RB12,3,Joe Mixon
24,WR12,3,Drake London
25,RB13,3,Josh Jacobs
26,WR13,3,Marvin Harrison
27,RB14,3,James Cook
28,WR14,3,Brandon Aiyuk
29,RB15,3,Rachaad White
30,WR15,4,Mike Evans
31,WR16,4,Deebo Samuel
32,RB16,3,David Montgomery
33,WR17,4,Jaylen Waddle
34,WR18,4,Amari Cooper
35,RB17,4,Alvin Kamara
36,WR19,4,Chris Olave
37,WR20,4,Tee Higgins
38,RB18,4,James Conner
39,WR21,4,DeVonta Smith
40,WR22,5,DJ Moore
41,RB19,4,Najee Harris
42,WR23,5,Rashee Rice
43,WR24,5,Michael Pittman
44,RB20,4,Kenneth Walker
45,WR25,5,Malik Nabers
46,WR26,5,George Pickens
47,RB21,4,Rhamondre Stevenson
48,WR27,5,Tank Dell
49,WR28,5,Zay Flowers
50,RB22,4,Jaylen Warren
51,WR29,6,Davante Adams
52,WR30,6,Chris Godwin
53,RB23,4,Raheem Mostert
54,WR31,6,Terry McLaurin
55,WR32,6,Joshua Palmer
56,RB24,4,Javonte Williams
57,WR33,6,Christian Kirk
58,WR34,6,Diontae Johnson
59,RB25,4,Jerome Ford
60,WR35,7,Jaxon Smith-Njigba
61,TE1,1,Travis Kelce
62,TE2,1,Sam LaPorta
63,TE3,1,Mark Andrews
64,TE4,1,Trey McBride
65,TE5,2,George Kittle
66,TE6,2,Dalton Kincaid
67,TE7,2,Kyle Pitts
68,TE8,2,Jake Ferguson
69,TE9,3,David Njoku
70,TE10,3,Evan Engram
71,QB1,1,Patrick Mahomes
72,QB2,1,Josh Allen
73,QB3,2,Lamar Jackson
74,QB4,2,Jalen Hurts
75,QB5,2,Dak Prescott
76,QB6,2,Anthony Richardson
77,QB7,3,C.J. Stroud
78,QB8,3,Jordan Love
79,QB9,3,Joe Burrow
80,QB10,3,Kyler Murray
81,WR36,7,Jayden Reed
82,WR37,7,Christian Watson
83,WR38,7,Stefon Diggs
84,WR39,7,Xavier Worthy
85,RB26,5,Aaron Jones
86,RB27,5,D'Andre Swift
87,WR40,7,Keenan Allen
88,RB28,5,Gus Edwards
89,WR41,7,Ladd McConkey
90,WR42,7,Rome Odunze
91,WR43,8,Calvin Ridley
92,WR44,8,Brian Thomas
93,RB29,5,Devin Singletary
94,WR45,8,Courtland Sutton
95,RB30,5,Austin Ekeler
96,RB31,5,Brian Robinson
97,WR46,8,Keon Coleman
98,RB32,5,Zack Moss
99,WR47,8,Brandin Cooks
100,WR48,9,Jordan Addison
101,WR49,9,Rashid Shaheed
102,WR50,9,Marquise Brown
103,RB33,6,Tyjae Spears
104,RB34,6,Zamir White
105,RB35,6,Chuba Hubbard
106,RB36,6,Ezekiel Elliott
107,WR51,9,DeAndre Hopkins
108,WR52,9,Dontayvion Wicks
109,WR53,9,Mike Williams
110,WR54,10,Jahan Dotson
111,TE11,3,Dallas Goedert
112,RB37,6,Tony Pollard
113,WR55,10,Adonai Mitchell
114,WR56,10,Tyler Lockett
115,RB38,7,Chase Brown
116,WR57,10,Curtis Samuel
117,TE12,4,Brock Bowers
118,WR58,10,Jerry Jeudy
119,TE13,4,Pat Freiermuth
120,WR59,10,Jameson Williams
121,WR60,10,Michael Wilson
122,RB39,7,Zach Charbonnet
123,TE14,5,Luke Musgrave
124,RB40,7,Rico Dowdle
125,RB41,7,Blake Corum
126,TE15,5,Taysom Hill
127,RB42,7,Tyler Allgeier
128,RB43,7,Jaleel McLaughlin
129,RB44,8,MarShawn Lloyd
130,RB45,8,Trey Benson
131,RB46,8,Ray Davis
132,RB47,8,J.K. Dobbins
133,RB48,8,Tyrone Tracy
134,RB49,8,Antonio Gibson
135,RB50,8,Khalil Herbert
136,RB51,8,Jaylen Wright
137,RB52,8,Braelon Allen
138,RB53,8,Tank Bigsby
139,RB54,8,Kimani Vidal
140,RB55,8,Justice Hill
141,RB56,8,Trey Sermon
142,RB57,8,Jordan Mason
143,RB58,8,Roschon Johnson
144,RB59,8,Bucky Irving
145,RB60,8,Audric Estime
146,QB11,4,Brock Purdy
147,QB12,4,Matthew Stafford
148,QB13,4,Tua Tagovailoa
149,QB14,4,Justin Herbert
150,QB15,5,Jared Goff
151,QB16,5,Trevor Lawrence
152,QB17,5,Geno Smith
153,QB18,5,Jayden Daniels
